Year,State,Type,"Death_Rate (per 100,000)",Deaths,Mental_Health_Issues,Unemployment_Rates,Median Age,Literacy_Rate,Conviction Rates,Median_Income,High school education,Population,Registered_Firearms
2015,Alabama,Red,19.6,958,691,6.1,39.4,0.761,0.8227,53880,1018063,4887755.102,2340.931524
2015,Alaska,Red,23.4,177,94,6.4,35.8,0.873,0.5782,90920,128052,756410.2564,1642.494915
2015,Arizona,Swing,13.8,970,925,5.8,38.7,0.766,0.688,63250,1110871,7028985.507,1936.481443
2015,Arkansas,Red,16.9,520,438,4.3,38.6,0.769,0.5374,51810,678452,3076923.077,2126.3125
2015,California,Blue,7.7,3095,4997,5.7,37.8,0.716,0.7435,77030,5430081,40194805.19,776.8765106
2015,Colorado,Blue,12.6,701,794,3.3,37.6,0.834,0.4105,80610,796984,5563492.063,1284.301284
2015,Connecticut,Blue,5.3,189,483,5.3,40.9,0.828,0.8235,88230,678916,3566037.736,1398.667196
2015,Delaware,Blue,12.1,112,133,4.6,41.8,0.797,0.3128,69910,194810,925619.8347,441.5419643
2015,Florida,Swing,12,2559,2630,5.1,42.7,0.763,0.405,59100,82181,21325000,1192.923798
2015,Georgia,Swing,14.1,1448,1299,5.7,37.5,0.764,0.485,61450,4201879,10269503.55,1637.489088
2015,Hawaii,Blue,3.6,55,168,3.1,40.7,0.841,0.5893,78090,1879302,1527777.778,484.5599999
2015,Idaho,Red,14.7,247,243,3.8,37.3,0.836,0.7433,62490,267568,1680272.109,2651.951417
2015,Illinois,Blue,9.5,1220,1570,6.1,39.2,0.796,0.6971,73130,292667,12842105.26,945.4913937
2015,Indiana,Red,12.7,846,1014,4.6,38.2,0.813,0.4008,62930,2314192,6661417.323,1506.976596
2015,Iowa,Red,7.8,247,402,3.6,38.8,0.851,0.6186,73660,1496775,3166666.667,982.6421052
2015,Kansas,Red,11.4,330,372,3.9,37.5,0.831,0.5456,66410,664912,2894736.842,1203.08
2015,Kentucky,Red,15.2,694,707,5.2,39.4,0.781,0.6044,51310,501278,4565789.474,1393.581556
2015,Louisiana,Red,20.4,952,634,6,38.1,0.729,0.5874,55590,1002541,4666666.667,1727.25
2015,Maine,Blue,9.8,144,203,4,44.8,0.866,0.2599,61440,1056533,1469387.755,853.7569445
2015,Maryland,Blue,11.9,708,756,4.6,39.6,0.8,0.1673,89090,314332,5949579.832,1590.347599
2015,Massachusetts,Blue,3,213,1008,4.4,40.1,0.827,0.7483,82150,1029325,7100000,484.971831
2015,Michigan,Swing,11.7,1164,1373,4.9,40.2,0.824,0.6098,65610,1184423,9948717.949,480.3734536
2015,Minnesota,Swing,7.4,410,777,3.8,38.9,0.869,0.8418,83200,1979472,5540540.541,1051.142927
2015,Mississippi,Red,19.6,589,394,6.4,38.5,0.72,0.922,48460,941170,3005102.041,801.3371816
2015,Missouri,Red,18.1,1094,823,4.5,39.2,0.811,0.6345,71660,605790,6044198.895,967.4565814
2015,Montana,Red,19.2,205,157,4.3,40.2,0.869,0.6257,62210,1269953,1067708.333,1198.641952
2015,Nebraska,Red,8.9,169,253,3,37.3,0.836,0.3809,73200,222399,1898876.404,840.2863908
2015,Nevada,Swing,14.9,446,387,6.3,38.9,0.747,0.8884,62960,331868,2993288.591,2141.123318
2015,New Hampshire,Blue,8.9,121,227,3,43.3,0.885,0.6998,91600,549151,1359550.562,1696.222314
2015,New Jersey,Blue,5.4,475,1107,5,40.3,0.793,0.6097,82750,267078,8796296.296,620.8522105
2015,New Mexico,Blue,18.6,390,309,6.5,39,0.709,0.4205,54620,1757377,2096774.194,4255.107691
2015,New York,Blue,4.2,849,2638,4.8,39.9,0.756,0.2702,70210,369807,20214285.71,344.7067139
2015,North Carolina,Swing,12.5,1289,1459,5.4,39.2,0.787,0.5199,61490,3615023,10312000,1185.880528
2015,North Dakota,Red,12.8,92,94,3,35.8,0.866,0.7147,69500,1785510,718750,1130.017391
2015,Ohio,Swing,11.9,1397,1778,4.9,39.7,0.823,0.6283,64520,135670,11739495.8,1152.238583
2015,Oklahoma,Red,18,706,548,4.4,37.1,0.799,0.6034,56990,2664823,3922222.222,1484.184136
2015,Oregon,Blue,11.4,486,666,5,40.3,0.832,0.6139,73640,808375,4263157.895,1143.541975
2015,Pennsylvania,Swing,11.4,1485,1803,5.3,40.9,0.819,0.3438,73100,654930,13026315.79,1730.166869
2015,Rhode Island,Blue,4.7,51,170,5.6,40.6,0.796,0.6067,67430,3174802,1085106.383,373.6039216
2015,South Carolina,Red,17.3,850,644,5.4,40.3,0.776,0.7697,56120,204295,4913294.798,1390.350118
2015,South Dakota,Red,11.1,96,110,2.8,37.9,0.851,0.595,66660,977099,864864.8649,1386.228125
2015,Tennessee,Red,16,1075,988,4.9,39.1,0.783,0.3959,57290,175958,6718750,1201.131163
2015,Texas,Red,11.7,3203,3127,4.5,35.5,0.718,0.4759,68360,1482137,27376068.38,1472.764439
2015,Utah,Red,12.8,367,417,3.5,31.9,0.855,0.6428,80200,4425654,2867187.5,2692.289918
2015,Vermont,Blue,9.6,70,101,3.3,43.2,0.872,0.5808,72020,421822,729166.6667,575.8628571
2015,Virginia,Blue,10.9,946,1203,4,39,0.812,0.9837,74430,127127,8678899.083,3090.645454
2015,Washington,Blue,9.8,718,1062,5.4,38.3,0.839,0.5927,81400,1399157,7326530.612,933.9618385
2015,West Virginia,Red,14,278,301,6.4,42.8,0.791,0.6708,51840,1127649,1985714.286,1179.172662
2015,Wisconsin,Swing,10.4,613,824,4.2,40.4,0.847,0.4151,67090,529290,5894230.769,843.5706362
2015,Wyoming,Red,19.6,113,85,4.7,39.2,0.864,0.6175,73750,1223628,576530.6122,21538.49204
2016,Alabama,Red,21.5,1046,677,5.7,39.3,0.767,0.8127,56660,1011236,4865116.279,2768.42304
2016,Alaska,Red,23.3,177,91,6.7,35.8,0.833,0.5982,90860,133928,759656.6524,1769.0887
2016,Arizona,Swing,15.2,1094,934,5.3,38.7,0.746,0.718,68510,1105497,7197368.421,2018.070932
2016,Arkansas,Red,17.8,541,423,3.8,38.5,0.764,0.5774,55080,681969,3039325.843,2286.691312
2016,California,Blue,7.9,3184,5123,5.4,37.4,0.712,0.7734,79960,5390935,40303797.47,804.9291143
2016,Colorado,Blue,14.3,812,777,2.7,37.9,0.838,0.3905,84670,822144,5678321.678,1371.496798
2016,Connecticut,Blue,4.6,172,452,4.6,41,0.838,0.8035,91100,678776,3739130.435,1700.288372
2016,Delaware,Blue,11,111,201,4.7,41.6,0.807,0.3428,69650,212474,1009090.909,436.8288289
2016,Florida,Swing,12.6,2704,2572,4.8,42.7,0.733,0.455,61400,85248,21460317.46,1291.812204
2016,Georgia,Swing,15,1571,1320,5.3,37.5,0.762,0.515,64230,4249733,10473333.33,1580.423298
2016,Hawaii,Blue,4.5,66,143,2.7,40.8,0.846,0.5393,86550,1884080,1466666.667,516.2045453
2016,Idaho,Red,14.6,242,298,3.5,37.5,0.836,0.7233,67870,277743,1657534.247,2589.629751
2016,Illinois,Blue,11.7,1490,1661,5.4,39.3,0.796,0.6571,73650,302866,12735042.74,1090.102349
2016,Indiana,Red,15,997,1109,4,37.3,0.811,0.4101,67310,2250392,6646666.667,1561.053159
2016,Iowa,Red,9.2,288,342,3.4,38.8,0.871,0.626,70900,1481882,3130434.783,710.3805555
2016,Kansas,Red,13.4,383,333,4,37.4,0.851,0.525,68160,649532,2858208.955,1326.285118
2016,Kentucky,Red,17.5,772,677,5.1,39.5,0.782,0.614,54440,496294,4411428.571,1636.635363
2016,Louisiana,Red,21.3,987,612,5.9,38.5,0.741,0.527,50630,968299,4633802.817,1920.992401
2016,Maine,Blue,8.3,123,211,3.5,44.7,0.865,0.229,61020,1059273,1481927.711,904.3626015
2016,Maryland,Blue,11.9,707,761,4.2,39.6,0.81,0.193,88500,318369,5941176.471,1640.19703
2016,Massachusetts,Blue,3.4,242,1101,3.9,40.1,0.826,0.743,86710,1046470,7117647.059,458.4239669
2016,Michigan,Swing,12.3,1230,1422,5,40.2,0.824,0.618,68500,1156496,10000000,522.22
2016,Minnesota,Swing,7.6,432,801,3.9,38.5,0.869,0.8418,84250,1978343,5684210.526,1125.908333
2016,Mississippi,Red,19.9,587,423,5.7,38.4,0.72,0.912,49310,937937,2949748.744,929.1638841
2016,Missouri,Red,19,1144,851,4.3,39.3,0.812,0.625,66010,603335,6021052.632,1044.90035
2016,Montana,Red,18.9,194,170,4.2,40.1,0.864,0.6257,68480,1265386,1026455.026,1549.020619
2016,Nebraska,Red,9.1,171,281,3.1,37.4,0.836,0.4209,71240,206415,1879120.879,958.480117
2016,Nevada,Swing,16.8,498,355,5.4,38.8,0.7472,0.844,66510,328348,2964285.714,2286.722892
2016,New Hampshire,Blue,9.3,132,244,2.9,43.4,0.889,0.748,91500,585057,1419354.839,2101.025
2016,New Jersey,Blue,5.5,485,1178,4.7,40.5,0.7932,0.587,82150,256245,8818181.818,631.3319588
2016,New Mexico,Blue,18.1,383,321,6.8,39.1,0.702,0.4105,58130,1706073,2116022.099,4359.64256
2016,New York,Blue,4.4,900,2772,4.8,39.9,0.746,0.272,73720,370508,20454545.45,344.2071112
2016,North Carolina,Swing,13.7,1409,1534,5,39.2,0.789,0.527,64510,3574814,10284671.53,1278.981051
2016,North Dakota,Red,11.9,90,99,2.9,35.8,0.876,0.717,72210,1775886,756302.521,1250.822222
2016,Ohio,Swing,12.9,1524,1872,5.3,39.8,0.813,0.623,64770,134178,11813953.49,1212.413779
2016,Oklahoma,Red,19.6,766,561,4.5,37.2,0.793,0.604,61120,2639028,3908163.265,1639.209922
2016,Oregon,Blue,11.9,513,670,4.3,40.3,0.842,0.629,70950,802529,4310924.37,1204.451657
2016,Pennsylvania,Swing,12,1555,1876,5.2,40.2,0.829,0.4038,73170,655893,12958333.33,1718.754984
2016,Rhode Island,Blue,4.1,49,122,4.8,40.7,0.796,0.607,73830,3132444,1195121.951,345.4040817
2016,South Carolina,Red,17.7,891,633,4.5,40.4,0.776,0.717,65200,204045,5033898.305,1454.399663
2016,South Dakota,Red,13.4,108,122,3.2,37.8,0.856,0.5444,68930,981669,805970.1493,1723.637037
2016,Tennessee,Red,17.1,1148,991,4.7,39.3,0.787,0.419,61610,163910,6713450.292,1297.455052
2016,Texas,Red,12.1,3353,3221,4.8,35.4,0.718,0.4352,69770,1465937,27710743.8,1690.972294
2016,Utah,Red,12.9,370,432,3.2,31.9,0.855,0.6684,80970,4474711,2868217.054,1895.498108
2016,Vermont,Blue,11.1,78,119,3.1,43.3,0.878,0.528,73000,404605,702702.7027,672.1192308
2016,Virginia,Blue,12.1,1049,1223,4,39.1,0.825,0.9773,79730,128767,8669421.488,3245.383794
2016,Washington,Blue,9,686,1067,4.9,38.3,0.834,0.5873,84360,1372836,7622222.222,996.5204082
2016,West Virginia,Red,17.5,332,333,5.6,42.9,0.781,0.6682,53220,1111786,1897142.857,1662.5
2016,Wisconsin,Swing,11.4,664,850,3.6,40.5,0.843,0.4353,71770,512228,5824561.404,921.9063252
2016,Wyoming,Red,17.4,101,92,5,39.3,0.864,0.6272,69390,1222607,580459.7701,22014.7901
2017,Alabama,Red,22.9,1124,701,4,39.3,0.761,0.774,60270,1029982,4908296.943,3293.219662
2017,Alaska,Red,24.5,180,87,6.4,35.7,0.839,0.6082,85170,133132,734693.8776,2153.822222
2017,Arizona,Swing,15.8,1134,886,4.9,38.5,0.749,0.728,72080,1136493,7177215.19,2504.286067
2017,Arkansas,Red,20.3,613,345,3.8,38.4,0.7641,0.5874,57580,683285,3019704.433,2644.00049
2017,California,Blue,7.9,3184,5820,4.5,37.3,0.712,0.7134,82260,5541182,40303797.47,855.0608668
2017,Colorado,Blue,13.4,779,781,2.8,37.8,0.842,0.325,87460,815595,5813432.836,1590.02439
2017,Connecticut,Blue,5.1,188,385,4.3,41.1,0.838,0.835,85820,676911,3686274.51,2235.319149
2017,Delaware,Blue,11.7,111,294,4.2,41.6,0.807,0.3182,73480,218309,948717.9487,511.427027
2017,Florida,Swing,12.4,2724,2753,4,42.8,0.743,0.4978,63300,85033,21967741.94,1562.691336
2017,Georgia,Swing,15.4,1623,1231,4.4,37.6,0.758,0.5252,67230,4330040,10538961.04,1803.308687
2017,Hawaii,Blue,2.5,39,178,1.9,40.8,0.848,0.4792,86760,1936501,1560000,503.7820513
2017,Idaho,Red,16.4,280,211,3.1,37.6,0.831,0.6831,70990,280494,1707317.073,2903.151429
2017,Illinois,Blue,12.1,1543,1342,4.7,39.4,0.791,0.6572,76180,313029,12752066.12,1148.731497
2017,Indiana,Red,15.3,1016,1329,3.3,37.4,0.819,0.4223,69420,2272174,6640522.876,1717.018405
2017,Iowa,Red,9,293,341,2.8,38.9,0.881,0.645,74850,1450767,3255555.556,875.2423207
2017,Kansas,Red,16,466,323,3.4,37.6,0.853,0.536,68240,639230,2912500,1807.175966
2017,Kentucky,Red,16.2,730,717,4.3,39.9,0.792,0.6366,60550,490769,4506172.84,1799.043287
2017,Louisiana,Red,21.7,1008,630,4.7,38.1,0.751,0.567,51770,997060,4645161.29,2515.111806
2017,Maine,Blue,11.7,172,309,3.1,44.3,0.868,0.2791,60920,1061526,1470085.47,1045.585465
2017,Maryland,Blue,12.3,742,714,4,39.9,0.83,0.123,95610,300716,6032520.325,1709.219272
2017,Massachusetts,Blue,3.7,262,1298,3.7,40.5,0.8269,0.713,86350,1020828,7081081.081,524.6656489
2017,Michigan,Swing,11.3,1138,1377,4.6,40.2,0.824,0.648,68040,1163526,10070796.46,652.7984183
2017,Minnesota,Swing,8.2,465,809,3.3,38.1,0.859,0.8748,84800,1969839,5670731.707,1398.532043
2017,Mississippi,Red,21.5,632,427,4.9,38.1,0.72,0.912,51220,938908,2939534.884,1207.469937
2017,Missouri,Red,21.5,1307,882,3.5,39.7,0.822,0.622,67080,595611,6079069.767,1200.775823
2017,Montana,Red,22.5,244,175,4,40.5,0.814,0.6237,69670,1277505,1084444.444,2040.95287
2017,Nebraska,Red,8.3,160,293,3,37.2,0.846,0.4209,70300,203141,1927710.843,1153.38875
2017,Nevada,Swing,16.7,508,344,4.9,38.6,0.7572,0.864,66680,331081,3041916.168,2527.617323
2017,New Hampshire,Blue,10.4,146,298,2.8,42.1,0.899,0.728,88200,592846,1403846.154,4568.520547
2017,New Jersey,Blue,5.3,478,1192,4.5,40.5,0.7832,0.517,86070,268564,9018867.925,637.6299163
2017,New Mexico,Blue,18.5,394,324,5.4,39.5,0.712,0.4405,56430,1696858,2129729.73,4581.80203
2017,New York,Blue,3.7,772,2889,4.5,39.1,0.744,0.222,73630,370599,20864864.86,365.2408032
2017,North Carolina,Swing,13.7,1430,1567,4.3,39.1,0.788,0.547,59360,3634065,10437956.2,1458.503917
2017,North Dakota,Red,13.2,103,101,2.6,35.2,0.871,0.727,70610,1800555,780303.0303,1700.87767
2017,Ohio,Swing,13.7,1589,1983,4.6,38.1,0.823,0.6223,70480,130900,11598540.15,1495.058842
2017,Oklahoma,Red,17.2,681,572,3.8,37.4,0.797,0.604,64860,2661209,3959302.326,1800.039354
2017,Oregon,Blue,12.1,528,601,4.1,40.5,0.841,0.669,76180,804245,4363636.364,1406.69375
2017,Pennsylvania,Swing,12.5,1636,1694,4.9,40.6,0.839,0.4138,74490,673810,13088000,1806.058985
2017,Rhode Island,Blue,3.9,43,193,4.5,40.8,0.798,0.5827,78280,3134497,1102564.103,383.0162789
2017,South Carolina,Red,17.7,893,449,4.1,40.4,0.778,0.7217,64820,220613,5045197.74,2093.099328
2017,South Dakota,Red,11.9,101,132,3,37.8,0.851,0.5664,67090,1016072,848739.4958,2489.574257
2017,Tennessee,Red,18.4,1246,109,3.5,39.2,0.789,0.4081,65140,176709,6771739.13,1464.30626
2017,Texas,Red,12.4,3513,3421,4.1,35.8,0.728,0.4525,69920,1488080,28330645.16,2077.947737
2017,Utah,Red,14,410,234,3.1,31.1,0.858,0.614,84100,4552676,2928571.429,2487.765853
2017,Vermont,Blue,11.7,70,172,3,43.2,0.868,0.5382,75240,408078,598290.5983,981.4628571
2017,Virginia,Blue,11.9,1041,1324,3.4,39.5,0.817,0.9213,84060,127426,8747899.16,3518.810567
2017,Washington,Blue,11.1,849,1129,4.6,38.7,0.838,0.5373,88930,1396487,7648648.649,1200.669611
2017,West Virginia,Red,18.6,348,239,5.4,42.8,0.782,0.6632,53520,1128284,1870967.742,1884.8
2017,Wisconsin,Swing,10.6,624,870,3,40.1,0.843,0.4553,74820,526652,5886792.453,1102.094231
2017,Wyoming,Red,18.8,113,99,4.3,39.7,0.864,0.6627,68200,1214914,601063.8298,22095.15752
2018,Alabama,Red,21.8,1064,637,3.8,39.1,0.762,0.784,57720,721987,4880733.945,3347.816165
2018,Alaska,Red,21,155,91,6,35.6,0.821,0.6282,79450,129250,738095.2381,2380.722581
2018,Arizona,Swing,15.3,1147,812,5,38.9,0.735,0.788,71990,1208158,7496732.026,2478.093113
2018,Arkansas,Red,18.9,573,333,3.7,37.4,0.7541,0.5374,57540,450668,3031746.032,2772.164921
2018,California,Blue,7.5,3040,5423,4.3,36.2,0.727,0.614,81480,5589646,40533333.33,883.7738488
2018,Colorado,Blue,15.2,889,769,3.1,37.2,0.844,0.328,84420,815752,5848684.211,1712.55613
2018,Connecticut,Blue,4.9,186,399,3.7,41.8,0.838,0.855,84160,413974,3795918.367,1799.222043
2018,Delaware,Blue,11.6,107,301,3.5,40.9,0.807,0.3282,75140,120182,922413.7931,540.3214953
2018,Florida,Swing,12.9,2902,2611,3.5,42.7,0.756,0.4974,63160,61530,22496124.03,1676.764404
2018,Georgia,Swing,15.7,1680,1332,3.9,37.6,0.758,0.5752,64520,3015699,10700636.94,1900.784048
2018,Hawaii,Blue,4,59,181,2.8,40.8,0.839,0.4692,92590,1383144,1475000,543.5932203
2018,Idaho,Red,16.6,294,214,3,37.1,0.838,0.6532,67880,204652,1771084.337,2965.810205
2018,Illinois,Blue,10.9,1382,1399,4.6,38.8,0.811,0.6423,81080,292076,12678899.08,1139.120984
2018,Indiana,Red,14.7,977,1255,3.6,36.8,0.822,0.4622,69230,1764774,6646258.503,1802.06653
2018,Iowa,Red,8.7,282,235,2.6,38.9,0.885,0.644,79430,887129,3241379.31,974.4925533
2018,Kansas,Red,14.8,424,337,3.4,37.6,0.851,0.456,73900,434337,2864864.865,1990.6
2018,Kentucky,Red,16.9,762,709,4.2,39.9,0.782,0.6037,63060,436532,4508875.74,1902.092782
2018,Louisiana,Red,21.4,991,619,4.8,38.4,0.754,0.527,57760,631690,4630841.121,2534.226438
2018,Maine,Blue,10.3,159,312,3.2,44.1,0.858,0.2891,67810,649675,1543689.32,1109.096227
2018,Maryland,Blue,11.7,707,717,3.7,39.5,0.83,0.113,99660,200338,6042735.043,1910.773833
2018,Massachusetts,Blue,3.5,258,1311,3.3,39.5,0.821,0.743,99800,779231,7371428.571,543.0426357
2018,Michigan,Swing,12.9,1310,1423,4.2,40.4,0.828,0.658,69870,741544,10155038.76,705.8367939
